image,formula
em_833_UN_460.png,$ ( ( x + 1 ) + ( ( x - 1 ) ) ( x - 1 ) ) ( x - 1 ) ) ( x - 1 ) ) ( x - 1 ) ) ( x - 1 ) ) ( x - 1 ) ) ( x - 1 ) ) ( x - 1 ) ) ( x ) ) $
MfrDB1287.png,$ \frac { { \frac { 1 } { 2 } } { 2 } } { 2 } } { 2 } } { 2 } } { 2 } } { 2 } } $
29-1312-200924.png,$ \int _ { ^ { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x } { x
108_leissi.png,$ x ^ 2 + x ^ 2 + x ^ 2 + x $
1698881982888505946.png,$ { = 1 $
RIT_2014_68.png,$ a ^ { + b ^ { 2 } } } } } } { 2 } } $
em_11_103.png,$ \sqrt { 1 + \sqrt { 1 } } $
2009210-162-947.png,$ { { { \mbox { B } } } } } $
200924-1312-64.png,$ { { { \mbox { } } } $
equation069-formulaire010.png,$ ( ( x + y = x ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 +
formulaire009-equation058.png,$ a = a ^ 2 + b ^ 2 $
formulaire046-equation062.png,$ a = a ^ 2 + b ^ 2 + b ^ 2 + b ^ 2 + b ^ 2 + b ^ 2 + b ^ 2 $
UN_461_em_868.png,$ a _ { = a _ { 2 } + b _ { 2 } $
200924-1331-275.png,$ \sqrt { 1 } $
2009220-1327-12.png,$ a ^ { 2 } = a ^ { 2 } $
formulaire023-equation016.png,$ x = 1 $
equation027-formulaire038.png,$ a _ { = a _ { + b _ { + b _ { 2 } + a _ { 2 } + b _ { 2 } + b _ { 2 } + b _ { 2 } + b _ { 2 } + b _ { 2 } + b _ { 2 } + b _ { 2 } + b _ { 2 } + b _ { 2 } + b _ { 2 } + b _ { 2 } + b _ { 2 } $
UN_105_em_105.png,$ { = 1 $
M2fBD33r5.png,$ ( x - y ) = x y ) = x y = y $
UN_em_334_116.png,$ { ( { { } { { } } { 2 } } } $
MfrDB1244.png,$ a ( a + b ) = a ( a ) + b ) $
1254-200923-72.png,$ \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt {
173_em_116.png,$ ( x - y ) = x ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 + y ^ 2 +
5M61r1DfB.png,$ x ^ { + 1 } $
MfrDB2981.png,$ ( { { { } { { } } { { } } { { } } { { } } { { } } { { } } { { } } { { } } { { } } { { } } { { } } { { } } { { } } { { } } { { } } { { } } { { } } { { } } { { } } } { { } } { { { { } } } } { { { { } } } } { { { { } } } } { { } } { { { { } } } } { { } }
MBD1r36f6.png,$ \int \limits _ { 0 } ^ { \infty } f ( x ) = f ( x ) d x $
MfrDB1278.png,$ a ^ { + b ^ { + 1 } } $
formulaire034-equation058.png,$ \sqrt { 1 } { { } } $
TrainData2_20_sub_17.png,$ ( ( x - y ) = x ( x ) y ) = ( y ) $
RIT_2014_83.png,$ { { { { { } } } } } $
